prediction,truth,similarity
"[16, 5, 6]","[16, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 4, 3, 5, 6, 7, 16]",0.7142857142857143
"[5, 6, 7, 16]","[4, 3, 5, 6, 7, 16]",0.6666666666666667
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 7, 7, 16, 4, 3, 5, 6]",0.33333333333333337
"[5, 6, 7, 16]","[7, 7, 7, 16, 4, 3, 5, 6]",0.25
"[16, 5, 6]","[7, 7, 16, 4, 3, 5, 6]",0.4285714285714286
"[16, 5, 6]","[7, 16, 4, 3, 5, 6]",0.5
"[16, 5, 6]","[16, 4, 3, 5, 6]",0.6
"[5, 6]","[4, 3, 5, 6]",0.5
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.23529411764705888
"[5, 6, 7, 16]","[5, 6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.1875
"[6, 7, 16]","[6, 7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.1333333333333333
"[7, 16]","[7, 13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0714285714285714
[16],"[13, 1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.0
"[15, 7, 8, 7, 16]","[1, 14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.25
"[7, 16]","[14, 10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.09090909090909094
"[7, 16]","[10, 12, 1, 15, 9, 8, 11, 7, 7, 7]",0.09999999999999998
"[11, 9, 7, 16]","[12, 1, 15, 9, 8, 11, 7, 7, 7]",0.2222222222222222
"[7, 16, 3, 5, 6]","[1, 15, 9, 8, 11, 7, 7, 7]",0.0
"[7, 16]","[15, 9, 8, 11, 7, 7, 7]",0.1428571428571429
"[7, 16]","[9, 8, 11, 7, 7, 7]",0.16666666666666663
"[7, 16]","[8, 11, 7, 7, 7]",0.19999999999999996
"[7, 16]","[11, 7, 7, 7]",0.25
"[7, 16]","[7, 7, 7]",0.33333333333333337
[16],"[7, 7]",0.0
"[16, 6]",[7],0.0
"[16, 6]",[],0.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 7, 16, 6]",0.6
"[5, 6, 7, 16]","[5, 7, 16, 6]",0.5
"[6, 7, 16]","[7, 16, 6]",0.33333333333333337
"[16, 6]","[16, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 3, 5, 6, 16]",0.6
"[3, 5, 6, 16]","[3, 5, 6, 16]",1.0
"[5, 6, 16]","[5, 6, 16]",1.0
"[6, 16]","[6, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7]",0.4
"[5, 6, 7, 16]",[7],0.25
"[16, 5, 6]",[],0.0
"[3, 5, 6, 7, 16]","[3, 7, 5, 4, 3, 16, 5, 6]",0.375
"[5, 6, 7, 16]","[7, 5, 4, 3, 16, 5, 6]",0.2857142857142857
"[16, 5, 6]","[5, 4, 3, 16, 5, 6]",0.5
"[6, 16]","[4, 3, 16, 5, 6]",0.19999999999999996
[3],"[3, 16, 5, 6]",0.25
"[5, 6]","[16, 5, 6]",0.6666666666666667
[6],"[5, 6]",0.5
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 7, 16, 6]",0.6
"[5, 6, 7, 16]","[5, 7, 16, 6]",0.5
"[6, 7, 16]","[7, 16, 6]",0.33333333333333337
"[16, 6]","[16, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 5, 6, 16]",0.6
"[5, 6, 7, 16]","[7, 5, 6, 16]",0.5
"[16, 5, 6]","[5, 6, 16]",0.33333333333333337
"[16, 6]","[6, 16]",0.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 4, 3, 5, 6, 7, 16]",0.7142857142857143
"[5, 6, 7, 16]","[4, 3, 5, 6, 7, 16]",0.6666666666666667
[3],"[3, 5, 6, 7, 16]",0.19999999999999996
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7]",0.4
"[5, 6, 7, 16]",[7],0.25
"[16, 3, 5, 6]",[],0.0
"[3, 5, 6, 7, 16]",[],0.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 4, 3, 4, 3, 5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.2941176470588235
"[5, 6, 7, 16]","[4, 3, 4, 3, 5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.25
"[3, 5, 6, 7, 16]","[3, 4, 3, 5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.33333333333333337
"[5, 6, 7, 16]","[4, 3, 5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.2857142857142857
"[3, 4, 3, 4, 3, 4, 7, 3, 5, 6, 16]","[3, 5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.15384615384615385
"[4, 3, 4, 3, 4, 7, 3, 5, 6, 16]","[5, 6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.08333333333333337
"[6, 7, 12, 7, 12, 7, 16]","[6, 7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.4545454545454546
[],"[7, 8, 7, 8, 7, 16, 17, 18, 20, 21]",0.0
[16],"[8, 7, 8, 7, 16, 17, 18, 20, 21]",0.11111111111111116
"[7, 8, 7, 16]","[7, 8, 7, 16, 17, 18, 20, 21]",0.5
"[8, 7, 16]","[8, 7, 16, 17, 18, 20, 21]",0.4285714285714286
"[7, 16]","[7, 16, 17, 18, 20, 21]",0.33333333333333337
[16],"[16, 17, 18, 20, 21]",0.19999999999999996
[],"[17, 18, 20, 21]",0.0
"[18, 20, 21]","[18, 20, 21]",1.0
"[20, 21]","[20, 21]",1.0
[21],[21],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]",[],0.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 10, 9, 7, 9, 10, 7, 16]",0.4545454545454546
"[5, 6, 7, 16]","[5, 6, 7, 10, 9, 7, 9, 10, 7, 16]",0.4
"[6, 7, 16]","[6, 7, 10, 9, 7, 9, 10, 7, 16]",0.33333333333333337
"[7, 16]","[7, 10, 9, 7, 9, 10, 7, 16]",0.25
[16],"[10, 9, 7, 9, 10, 7, 16]",0.1428571428571429
"[9, 7, 10, 9, 7, 16]","[9, 7, 9, 10, 7, 16]",0.6666666666666667
"[7, 10, 9, 7, 16]","[7, 9, 10, 7, 16]",0.6
[16],"[9, 10, 7, 16]",0.25
"[7, 10, 9, 7, 16]","[10, 7, 16]",0.6
"[9, 7, 16]","[7, 16]",0.6666666666666667
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 7, 6, 16]",0.6
"[5, 6, 7, 16]","[5, 7, 6, 16]",0.5
"[6, 7, 16]","[7, 6, 16]",0.33333333333333337
"[16, 6]","[6, 16]",0.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 16, 17, 5, 6, 18, 20, 21]",0.33333333333333337
"[5, 6, 7, 16]","[7, 16, 17, 5, 6, 18, 20, 21]",0.25
"[16, 5, 6]","[16, 17, 5, 6, 18, 20, 21]",0.4285714285714286
"[5, 6]","[17, 5, 6, 18, 20, 21]",0.33333333333333337
"[18, 5, 20, 6, 21]","[5, 6, 18, 20, 21]",0.19999999999999996
"[6, 12]","[6, 18, 20, 21]",0.25
[12],"[18, 20, 21]",0.0
"[20, 21]","[20, 21]",1.0
[21],[21],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16, 22, 23, 25, 26]",0.5555555555555556
"[5, 6, 7, 16]","[5, 6, 7, 16, 22, 23, 25, 26]",0.5
"[6, 7, 16]","[6, 7, 16, 22, 23, 25, 26]",0.4285714285714286
"[7, 16]","[7, 16, 22, 23, 25, 26]",0.33333333333333337
[16],"[16, 22, 23, 25, 26]",0.19999999999999996
[],"[22, 23, 25, 26]",0.0
"[23, 25, 26]","[23, 25, 26]",1.0
"[25, 26]","[25, 26]",1.0
[26],[26],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 7, 5, 6, 16]",0.6
"[5, 6, 7, 16]","[7, 5, 6, 16]",0.5
"[16, 5, 6]","[5, 6, 16]",0.33333333333333337
"[16, 6]","[6, 16]",0.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[7, 16, 3, 5, 6]",0.19999999999999996
"[16, 3, 5, 6]","[16, 3, 5, 6]",1.0
"[3, 5, 6]","[3, 5, 6]",1.0
"[5, 6]","[5, 6]",1.0
[6],[6],1.0
[],[],1.0
"[3, 5, 6, 7, 16]",[],0.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16, 17, 18, 20, 21]",0.5555555555555556
"[5, 6, 7, 16]","[5, 6, 7, 16, 17, 18, 20, 21]",0.5
"[6, 7, 16]","[6, 7, 16, 17, 18, 20, 21]",0.4285714285714286
"[7, 16]","[7, 16, 17, 18, 20, 21]",0.33333333333333337
[16],"[16, 17, 18, 20, 21]",0.19999999999999996
[],"[17, 18, 20, 21]",0.0
"[18, 20, 21]","[18, 20, 21]",1.0
"[20, 21]","[20, 21]",1.0
[21],[21],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]",[],0.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
"[6, 7, 16]","[6, 7, 16]",1.0
"[7, 16]","[7, 16]",1.0
[16],[16],1.0
[],[],1.0
"[3, 5, 6, 7, 16]","[3, 5, 6, 7, 16]",1.0
"[5, 6, 7, 16]","[5, 6, 7, 16]",1.0
